T (degC),p (mbar),rh (%),model_prediction,anomaly_status,anomaly_score
-8.02,996.52,93.3,1,Normal,0.5121177964751791
-8.41,996.57,93.4,1,Normal,0.5145815982166916
-8.51,996.53,93.9,1,Normal,0.5162129726945721
-8.31,996.51,94.2,1,Normal,0.512202573881171
-8.27,996.51,94.1,1,Normal,0.5139587872148687
-8.05,996.5,94.4,1,Normal,0.5105002805851574
-7.62,996.5,94.8,1,Normal,0.5077118805787393
-7.62,996.5,94.4,1,Normal,0.5057866756958809
-7.91,996.5,93.8,1,Normal,0.5086504536870888
-8.43,996.53,93.1,1,Normal,0.5148694845214918
-8.76,996.62,93.1,1,Normal,0.5151055237336898
-8.88,996.62,93.2,1,Normal,0.5190223740773305
-8.85,996.63,93.5,1,Normal,0.5190223740773305
-8.83,996.74,93.5,1,Normal,0.5190223740773305
-8.66,996.81,93.9,1,Normal,0.515627135554136
-8.66,996.81,93.6,1,Normal,0.5143573410294049
-8.7,996.86,93.5,1,Normal,0.5175915073426365
-8.81,996.84,93.5,1,Normal,0.5186431602745452
-8.84,996.87,93.5,1,Normal,0.5222858730966988
-8.94,996.97,93.3,1,Normal,0.5252061887965451
-8.94,997.08,93.4,1,Normal,0.5262427328831055
-8.86,997.1,93.1,1,Normal,0.5219546775569502
-8.99,997.06,92.4,1,Normal,0.5268886503192507
-9.05,996.99,92.6,1,Normal,0.5240432558730782
-9.23,997.05,92.2,1,Normal,0.5270746483956023
-9.49,997.11,92.0,1,Normal,0.5268812253460792
-9.5,997.19,92.3,1,Normal,0.527853379946276
-9.35,997.24,92.8,1,Normal,0.5267256624461271
-9.47,997.37,92.4,1,Normal,0.5273104503885235
-9.63,997.46,92.2,1,Normal,0.5272787489276934
-9.67,997.43,92.6,1,Normal,0.5254978549604541
-9.68,997.42,92.0,1,Normal,0.5248115619814434
-9.9,997.53,91.7,1,Normal,0.5287436256999288
-9.91,997.6,92.4,1,Normal,0.531242270682369
-9.51,997.62,93.4,1,Normal,0.5260046216592537
-9.67,997.71,92.7,1,Normal,0.5247051350935199
-9.59,997.81,93.2,1,Normal,0.5294214238066384
-9.15,997.86,93.3,1,Normal,0.5254958576474926
-8.91,998.0,92.5,1,Normal,0.5240017441168555
-9.04,998.14,91.9,1,Normal,0.5255188783602013
-9.43,998.21,91.3,1,Normal,0.5261932309418332
-9.17,998.33,92.9,1,Normal,0.5291750879978879
-8.71,998.5,93.0,1,Normal,0.5219266453997711
-8.55,998.59,93.0,1,Normal,0.5227490295506632
-8.4,998.79,93.1,1,Normal,0.5241656850238523
-8.3,998.86,93.1,1,Normal,0.5230944586746933
-8.13,999.04,93.2,1,Normal,0.5263697790806143
-8.1,999.17,92.8,1,Normal,0.5243515530139828
-8.14,999.27,92.6,1,Normal,0.523772878570381
-8.06,999.33,92.7,1,Normal,0.5232842001536042
-7.95,999.44,92.6,1,Normal,0.5202266239281714
-7.74,999.46,93.0,1,Normal,0.5170504510449208
-7.57,999.59,92.0,1,Normal,0.5113171159296831
-7.66,999.69,91.2,1,Normal,0.5133352178564397
-7.71,999.79,91.3,1,Normal,0.5141935903437151
-7.56,999.81,91.7,1,Normal,0.5110794198202834
-7.29,999.83,92.2,1,Normal,0.5096564768913345
-7.15,999.96,92.1,1,Normal,0.5094800264733811
-7.02,1000.13,92.2,1,Normal,0.5107655340122423
-7.04,1000.27,91.6,1,Normal,0.5094982154695844
-7.03,1000.43,91.6,1,Normal,0.5098430516322844
-7.15,1000.54,91.1,1,Normal,0.5093712143015774
-7.26,1000.68,91.0,1,Normal,0.5110675248459068
-7.34,1000.78,90.8,1,Normal,0.515908474849248
-7.35,1000.83,90.9,1,Normal,0.5162576495732604
-7.41,1000.87,90.7,1,Normal,0.5189713857590286
-7.48,1000.81,90.5,1,Normal,0.5168594506566893
-7.38,1000.74,90.6,1,Normal,0.515113904697013
-7.21,1000.61,90.2,1,Normal,0.5077981245323876
-7.16,1000.5,89.8,1,Normal,0.5079802545829591
-7.03,1000.36,89.6,1,Normal,0.5050864207798571
-6.87,1000.3,89.6,1,Normal,0.5035512100744451
-6.77,1000.21,89.5,1,Normal,0.5021902690625387
-6.7,1000.18,89.8,1,Normal,0.5024596495982118
-6.61,1000.14,89.7,1,Normal,0.5015111785023207
-6.51,1000.02,89.5,1,Normal,0.5008735445406696
-6.21,1000.02,89.4,1,Normal,0.5009634357515814
-5.89,1000.03,88.6,1,Normal,0.4998038171449874
-5.83,999.97,87.8,1,Normal,0.4961452510160148
-5.76,999.97,87.7,1,Normal,0.4971533290089525
-5.9,1000.02,87.5,1,Normal,0.49877122877749364
25.0,999.89,88.5,1,Normal,0.5565691374074043
-5.88,999.81,88.6,1,Normal,0.4921778345639286
-5.94,999.81,89.1,1,Normal,0.49315648743955126
-5.84,999.81,89.6,1,Normal,0.4912823240661893
3.1050963597430403,999.8,89.8,1,Normal,0.4345528303905667
-5.75,999.81,89.8,1,Normal,0.491213392741082
-5.76,999.82,90.2,1,Normal,0.4921521062055619
-5.73,999.83,90.3,1,Normal,0.492818523752851
-5.69,999.88,90.4,1,Normal,0.4993075127784584
-5.53,999.98,90.2,1,Normal,0.49438355198353834
-5.57,1000.06,89.8,1,Normal,0.4959839184079016
-5.43,1000.04,90.0,1,Normal,0.49560834057390657
-5.32,1000.0,89.5,1,Normal,0.49598391840790174
-5.36,999.95,89.2,1,Normal,0.49465317490566635
-5.4,999.94,89.4,1,Normal,0.4948169427492111
-5.31,1000.05,89.9,1,Normal,0.4952036408931896
-5.28,1000.05,89.8,1,Normal,0.49328685551906903
-5.32,1000.1,89.5,1,Normal,0.49598391840790174
-5.29,1000.17,89.7,1,Normal,0.49598391840790174
-5.33,1000.13,89.2,1,Normal,0.497202761029268
-5.37,1000.17,89.4,1,Normal,0.4970309748357425
-5.43,1000.17,89.3,1,Normal,0.49649022808296445
-5.28,1000.18,89.8,1,Normal,0.4936207195861114
-5.21,1000.18,89.2,1,Normal,0.4940427836756512
-5.21,1000.17,88.9,1,Normal,0.4943771593663988
-5.24,1000.16,88.9,1,Normal,0.4943771593663988
-5.25,1000.16,89.1,1,Normal,0.4940427836756512
-5.16,1000.13,89.1,1,Normal,0.4940427836756512
-5.12,1000.07,89.1,1,Normal,0.4909028895911913
-5.04,1000.11,88.9,1,Normal,0.48984491501168437
-5.01,1000.18,88.7,1,Normal,0.48920371043279026
-5.12,1000.23,88.7,1,Normal,0.4905921157769839
-5.11,1000.22,89.4,1,Normal,0.49225358041683875
-4.9,1000.3,89.4,1,Normal,0.488554107022542
-4.86,1000.19,88.9,1,Normal,0.48540551507168195
-4.9,1000.18,88.7,1,Normal,0.4861784830254675
-4.97,1000.14,88.7,1,Normal,0.487318519589302
-4.99,1000.18,89.0,1,Normal,0.4901764495208975
-4.9,1000.22,89.3,1,Normal,0.48722589738570227
-4.93,1000.27,89.5,1,Normal,0.4864680882884911
-4.89,1000.21,89.8,1,Normal,0.48566494139344835
-4.93,1000.19,89.9,1,Normal,0.4852971774802121
10.0,1000.24,90.2,1,Normal,0.4382529741522952
-4.9,1000.3,90.6,1,Normal,0.4898257529847732
-4.8,1000.19,90.2,1,Normal,0.48244410194656595
-4.84,1000.19,90.0,1,Normal,0.48244410194656595
-4.9,1000.15,90.2,1,Normal,0.4849689431031512
-4.86,1000.09,90.4,1,Normal,0.4870184730474835
-4.76,1000.06,90.5,1,Normal,0.48654842752680666
-4.61,1000.03,90.6,1,Normal,0.4855618530966083
-4.5,1000.0,90.4,1,Normal,0.48495391964698253
-4.41,999.92,90.4,1,Normal,0.48366625099226684
-4.4,999.93,90.1,1,Normal,0.47870281150512695
-4.32,999.87,90.0,1,Normal,0.475127999048821
-4.17,999.8,89.7,1,Normal,0.47064254271709266
-4.3,999.77,89.3,1,Normal,0.47203036344829086
-4.47,999.77,90.1,1,Normal,0.4733788534399819
-4.5,999.8,91.2,1,Normal,0.4803928355240944
-4.51,999.81,91.7,1,Normal,0.48093037112125425
-4.33,999.8,92.5,1,Normal,0.4814478950068238
-4.33,999.71,92.0,1,Normal,0.4788252173208871
-4.58,999.67,92.4,1,Normal,0.48389653252556286
-4.54,999.59,93.2,1,Normal,0.4858970260319531
-4.6,999.55,93.2,1,Normal,0.4861770896813486
-4.67,999.56,93.7,1,Normal,0.4861088746665052
-4.66,999.56,94.1,1,Normal,0.4891912573460891
-4.55,999.48,94.4,1,Normal,0.4890552907179216
-4.43,999.44,94.4,1,Normal,0.48720894189036584
-4.44,999.34,94.4,1,Normal,0.48720894189036584
-4.39,999.31,94.5,1,Normal,0.4886163531507731
-4.4,999.21,94.4,1,Normal,0.48787647733835515
-4.4,999.18,94.6,1,Normal,0.4898064249326804
-4.31,999.08,94.7,1,Normal,0.4895945490637021
-4.26,999.0,94.6,1,Normal,0.48641026212209887
-4.29,998.93,94.5,1,Normal,0.48340708610169786
-4.26,998.93,94.6,1,Normal,0.4848162070354893
-4.27,998.82,94.4,1,Normal,0.48290592202322835
-4.3,998.82,94.5,1,Normal,0.48340708610169786
-4.32,998.78,94.6,1,Normal,0.4845844702163186
-4.39,998.73,94.6,1,Normal,0.4866472030856611
-4.45,998.69,94.8,1,Normal,0.48484461795537637
-4.5,998.67,95.0,1,Normal,0.4871191673850862
-4.48,998.58,95.2,1,Normal,0.4895393855033506
-4.43,998.49,95.3,1,Normal,0.48910831363720547
-4.33,998.44,95.5,1,Normal,0.48895460449350187
-4.41,998.39,95.1,1,Normal,0.4855433216352942
-4.58,998.32,95.2,1,Normal,0.48750847548517934
-4.63,998.29,95.4,1,Normal,0.49254705214008593
-4.63,998.12,95.5,1,Normal,0.49339473317076604
-4.74,997.95,95.6,1,Normal,0.49372867025104833
-4.86,998.03,95.7,1,Normal,0.4987024509755843
-4.97,998.08,95.9,1,Normal,0.4997858491854126
-4.96,998.1,96.0,1,Normal,0.5025438709724431
-4.94,998.21,96.0,1,Normal,0.5016804711875078
-4.78,998.21,96.3,1,Normal,0.502387515166689
-4.63,998.13,96.2,1,Normal,0.5003836695408518
-4.64,998.02,95.9,1,Normal,0.4964575257171143
-4.67,997.93,96.0,1,Normal,0.49852213732653755
-4.43,998.0,96.2,1,Normal,0.49642532580249066
-4.38,998.11,95.9,1,Normal,0.4935388751844066
