Date Time,p (mbar),T (degC),rh (%)
01.01.2009 00:10:00,996.52,-8.02,93.3
01.01.2009 00:20:00,996.57,-8.41,93.4
01.01.2009 00:30:00,996.53,-8.51,93.9
01.01.2009 00:40:00,996.51,-8.31,94.2
01.01.2009 00:50:00,996.51,-8.27,94.1
01.01.2009 01:00:00,996.5,-8.05,94.4
01.01.2009 01:10:00,996.5,-7.62,94.8
01.01.2009 01:20:00,996.5,-7.62,94.4
01.01.2009 01:30:00,996.5,-7.91,93.8
01.01.2009 01:40:00,996.53,-8.43,93.1
01.01.2009 01:50:00,996.62,-8.76,93.1
01.01.2009 02:00:00,996.62,-8.88,93.2
01.01.2009 02:10:00,996.63,-8.85,93.5
01.01.2009 02:20:00,996.74,-8.83,93.5
01.01.2009 02:30:00,996.81,-8.66,93.9
01.01.2009 02:40:00,996.81,-8.66,93.6
01.01.2009 02:50:00,996.86,-8.7,93.5
01.01.2009 03:00:00,996.84,-8.81,93.5
01.01.2009 03:10:00,996.87,-8.84,93.5
01.01.2009 03:20:00,996.97,-8.94,93.3
01.01.2009 03:30:00,997.08,-8.94,93.4
01.01.2009 03:40:00,997.1,-8.86,93.1
01.01.2009 03:50:00,997.06,-8.99,92.4
01.01.2009 04:00:00,996.99,-9.05,92.6
01.01.2009 04:10:00,997.05,-9.23,92.2
01.01.2009 04:20:00,997.11,-9.49,92.0
01.01.2009 04:30:00,997.19,-9.5,92.3
01.01.2009 04:40:00,997.24,-9.35,92.8
01.01.2009 04:50:00,997.37,-9.47,92.4
01.01.2009 05:00:00,997.46,-9.63,92.2
01.01.2009 05:10:00,997.43,-9.67,92.6
01.01.2009 05:20:00,997.42,-9.68,92.0
01.01.2009 05:30:00,997.53,-9.9,91.7
01.01.2009 05:40:00,997.6,-9.91,92.4
01.01.2009 05:50:00,997.62,-9.51,93.4
01.01.2009 06:00:00,997.71,-9.67,92.7
01.01.2009 06:10:00,997.81,-9.59,93.2
01.01.2009 06:20:00,997.86,-9.15,93.3
01.01.2009 06:30:00,998.0,-8.91,92.5
01.01.2009 06:40:00,998.14,-9.04,91.9
01.01.2009 06:50:00,998.21,-9.43,91.3
01.01.2009 07:00:00,998.33,-9.17,92.9
01.01.2009 07:10:00,998.5,-8.71,93.0
01.01.2009 07:20:00,998.59,-8.55,93.0
01.01.2009 07:30:00,998.79,-8.4,93.1
01.01.2009 07:40:00,998.86,-8.3,93.1
01.01.2009 07:50:00,999.04,-8.13,93.2
01.01.2009 08:00:00,999.17,-8.1,92.8
01.01.2009 08:10:00,999.27,-8.14,92.6
01.01.2009 08:20:00,999.33,-8.06,92.7
01.01.2009 08:30:00,999.44,-7.95,92.6
01.01.2009 08:40:00,999.46,-7.74,93.0
01.01.2009 08:50:00,999.59,-7.57,92.0
01.01.2009 09:00:00,999.69,-7.66,91.2
01.01.2009 09:10:00,999.79,-7.71,91.3
01.01.2009 09:20:00,999.81,-7.56,91.7
01.01.2009 09:30:00,999.83,-7.29,92.2
01.01.2009 09:40:00,999.96,-7.15,92.1
01.01.2009 09:50:00,1000.13,-7.02,92.2
01.01.2009 10:00:00,1000.27,-7.04,91.6
01.01.2009 10:10:00,1000.43,-7.03,91.6
01.01.2009 10:20:00,1000.54,-7.15,91.1
01.01.2009 10:30:00,1000.68,-7.26,91.0
01.01.2009 10:40:00,1000.78,-7.34,90.8
01.01.2009 10:50:00,1000.83,-7.35,90.9
01.01.2009 11:00:00,1000.87,-7.41,90.7
01.01.2009 11:10:00,1000.81,-7.48,90.5
01.01.2009 11:20:00,1000.74,-7.38,90.6
01.01.2009 11:30:00,1000.61,-7.21,90.2
01.01.2009 11:40:00,1000.5,-7.16,89.8
01.01.2009 11:50:00,1000.36,-7.03,89.6
01.01.2009 12:00:00,1000.3,-6.87,89.6
01.01.2009 12:10:00,1000.21,-6.77,89.5
01.01.2009 12:20:00,1000.18,-6.7,89.8
01.01.2009 12:30:00,1000.14,-6.61,89.7
01.01.2009 12:40:00,1000.02,-6.51,89.5
01.01.2009 12:50:00,1000.02,-6.21,89.4
01.01.2009 13:00:00,1000.03,-5.89,88.6
01.01.2009 13:10:00,999.97,-5.83,87.8
01.01.2009 13:20:00,999.97,-5.76,87.7
01.01.2009 13:30:00,1000.02,-5.9,87.5
01.01.2009 13:40:00,999.89,-5.97,88.5
01.01.2009 13:50:00,999.81,-5.88,88.6
01.01.2009 14:00:00,999.81,-5.94,89.1
01.01.2009 14:10:00,999.81,-5.84,89.6
01.01.2009 14:20:00,999.8,-5.76,89.8
01.01.2009 14:30:00,999.81,-5.75,89.8
01.01.2009 14:40:00,999.82,-5.76,90.2
01.01.2009 14:50:00,999.83,-5.73,90.3
01.01.2009 15:00:00,999.88,-5.69,90.4
01.01.2009 15:10:00,999.98,-5.53,90.2
01.01.2009 15:20:00,1000.06,-5.57,89.8
01.01.2009 15:30:00,1000.04,-5.43,90.0
01.01.2009 15:40:00,1000.0,-5.32,89.5
01.01.2009 15:50:00,999.95,-5.36,89.2
01.01.2009 16:00:00,999.94,-5.4,89.4
01.01.2009 16:10:00,1000.05,-5.31,89.9
01.01.2009 16:20:00,1000.05,-5.28,89.8
01.01.2009 16:30:00,1000.1,-5.32,89.5
01.01.2009 16:40:00,1000.17,-5.29,89.7
01.01.2009 16:50:00,1000.13,-5.33,89.2
01.01.2009 17:00:00,1000.17,-5.37,89.4
01.01.2009 17:10:00,1000.17,-5.43,89.3
01.01.2009 17:20:00,1000.18,-5.28,89.8
01.01.2009 17:30:00,1000.18,-5.21,89.2
01.01.2009 17:40:00,1000.17,-5.21,88.9
01.01.2009 17:50:00,1000.16,-5.24,88.9
01.01.2009 18:00:00,1000.16,-5.25,89.1
01.01.2009 18:10:00,1000.13,-5.16,89.1
01.01.2009 18:20:00,1000.07,-5.12,89.1
01.01.2009 18:30:00,1000.11,-5.04,88.9
01.01.2009 18:40:00,1000.18,-5.01,88.7
01.01.2009 18:50:00,1000.23,-5.12,88.7
01.01.2009 19:00:00,1000.22,-5.11,89.4
01.01.2009 19:10:00,1000.3,-4.9,89.4
01.01.2009 19:20:00,1000.19,-4.86,88.9
01.01.2009 19:30:00,1000.18,-4.9,88.7
01.01.2009 19:40:00,1000.14,-4.97,88.7
01.01.2009 19:50:00,1000.18,-4.99,89.0
01.01.2009 20:00:00,1000.22,-4.9,89.3
01.01.2009 20:10:00,1000.27,-4.93,89.5
01.01.2009 20:20:00,1000.21,-4.89,89.8
01.01.2009 20:30:00,1000.19,-4.93,89.9
01.01.2009 20:40:00,1000.24,-5.0,90.2
01.01.2009 20:50:00,1000.3,-4.9,90.6
01.01.2009 21:00:00,1000.19,-4.8,90.2
01.01.2009 21:10:00,1000.19,-4.84,90.0
01.01.2009 21:20:00,1000.15,-4.9,90.2
01.01.2009 21:30:00,1000.09,-4.86,90.4
01.01.2009 21:40:00,1000.06,-4.76,90.5
01.01.2009 21:50:00,1000.03,-4.61,90.6
01.01.2009 22:00:00,1000.0,-4.5,90.4
01.01.2009 22:10:00,999.92,-4.41,90.4
01.01.2009 22:20:00,999.93,-4.4,90.1
01.01.2009 22:30:00,999.87,-4.32,90.0
01.01.2009 22:40:00,999.8,-4.17,89.7
01.01.2009 22:50:00,999.77,-4.3,89.3
01.01.2009 23:00:00,999.77,-4.47,90.1
01.01.2009 23:10:00,999.8,-4.5,91.2
01.01.2009 23:20:00,999.81,-4.51,91.7
01.01.2009 23:30:00,999.8,-4.33,92.5
01.01.2009 23:40:00,999.71,-4.33,92.0
01.01.2009 23:50:00,999.67,-4.58,92.4
02.01.2009 00:00:00,999.59,-4.54,93.2
02.01.2009 00:10:00,999.55,-4.6,93.2
02.01.2009 00:20:00,999.56,-4.67,93.7
02.01.2009 00:30:00,999.56,-4.66,94.1
02.01.2009 00:40:00,999.48,-4.55,94.4
02.01.2009 00:50:00,999.44,-4.43,94.4
02.01.2009 01:00:00,999.34,-4.44,94.4
02.01.2009 01:10:00,999.31,-4.39,94.5
02.01.2009 01:20:00,999.21,-4.4,94.4
02.01.2009 01:30:00,999.18,-4.4,94.6
02.01.2009 01:40:00,999.08,-4.31,94.7
02.01.2009 01:50:00,999.0,-4.26,94.6
02.01.2009 02:00:00,998.93,-4.29,94.5
02.01.2009 02:10:00,998.93,-4.26,94.6
02.01.2009 02:20:00,998.82,-4.27,94.4
02.01.2009 02:30:00,998.82,-4.3,94.5
02.01.2009 02:40:00,998.78,-4.32,94.6
02.01.2009 02:50:00,998.73,-4.39,94.6
02.01.2009 03:00:00,998.69,-4.45,94.8
02.01.2009 03:10:00,998.67,-4.5,95.0
02.01.2009 03:20:00,998.58,-4.48,95.2
02.01.2009 03:30:00,998.49,-4.43,95.3
02.01.2009 03:40:00,998.44,-4.33,95.5
02.01.2009 03:50:00,998.39,-4.41,95.1
02.01.2009 04:00:00,998.32,-4.58,95.2
02.01.2009 04:10:00,998.29,-4.63,95.4
02.01.2009 04:20:00,998.12,-4.63,95.5
02.01.2009 04:30:00,997.95,-4.74,95.6
02.01.2009 04:40:00,998.03,-4.86,95.7
02.01.2009 04:50:00,998.08,-4.97,95.9
02.01.2009 05:00:00,998.1,-4.96,96.0
02.01.2009 05:10:00,998.21,-4.94,96.0
02.01.2009 05:20:00,998.21,-4.78,96.3
02.01.2009 05:30:00,998.13,-4.63,96.2
02.01.2009 05:40:00,998.02,-4.64,95.9
02.01.2009 05:50:00,997.93,-4.67,96.0
02.01.2009 06:00:00,998.0,-4.43,96.2
02.01.2009 06:10:00,998.11,-4.38,95.9
02.01.2009 06:20:00,998.15,-4.32,95.9
02.01.2009 06:30:00,998.21,-4.25,95.8
02.01.2009 06:40:00,998.22,-4.16,95.6
02.01.2009 06:50:00,998.19,-4.26,95.4
02.01.2009 07:00:00,998.17,-4.28,95.5
02.01.2009 07:10:00,998.19,-4.34,95.3
02.01.2009 07:20:00,998.2,-4.37,95.2
02.01.2009 07:30:00,998.22,-4.33,95.2
02.01.2009 07:40:00,998.17,-4.43,95.1
02.01.2009 07:50:00,998.18,-4.39,95.1
02.01.2009 08:00:00,998.18,-4.33,94.8
02.01.2009 08:10:00,998.11,-4.37,94.7
